"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.840329870E-1,-5.452644825E-1,-9.122636169E-2,9.417850494E0,9.434062939E0
5.864786640E-1,-4.663013220E-1,-5.533402413E-2,9.496813774E0,9.508415780E0
5.889252260E-1,-4.423730969E-1,-3.140579537E-2,9.587740898E0,9.597992280E0
5.913724660E-1,-4.304089844E-1,-2.183450572E-2,9.693025589E0,9.702601389E0
5.938188720E-1,-4.280161560E-1,-5.772684515E-2,9.776774406E0,9.786309213E0
5.962646010E-1,-4.519443810E-1,-4.576273263E-2,9.877272606E0,9.887712682E0
5.987110600E-1,-4.519443810E-1,-3.140579537E-2,9.970891953E0,9.981178607E0
6.011583510E-1,-4.758726060E-1,-1.226321608E-2,1.004985523E1,1.006112296E1
6.036048100E-1,-5.021936297E-1,-3.379862010E-2,1.014078236E1,1.015326586E1
6.060504870E-1,-5.428716540E-1,-4.815555736E-2,1.025563812E1,1.027010915E1
6.084969450E-1,-5.572285652E-1,-5.772684515E-2,1.038006496E1,1.039517122E1
6.109442890E-1,-5.596213937E-1,-4.576273263E-2,1.049731255E1,1.051231854E1
6.133906950E-1,-5.548357368E-1,-9.870393202E-3,1.059811020E1,1.061262832E1
6.158363720E-1,-5.404788256E-1,1.166501082E-2,1.070578766E1,1.071942829E1
6.182828300E-1,-5.620142221E-1,1.645065658E-2,1.081346416E1,1.082807175E1
6.207301740E-1,-5.763711333E-1,3.559323773E-2,1.088764191E1,1.090294533E1
6.231765800E-1,-6.122635007E-1,4.037888348E-2,1.094267750E1,1.095986715E1
6.256222580E-1,-6.457630396E-1,3.559323773E-2,1.100010490E1,1.101910090E1
6.280688200E-1,-6.505486369E-1,1.166501082E-2,1.102642632E1,1.104560668E1
6.305160600E-1,-7.127620578E-1,-4.336991161E-2,1.105035400E1,1.107340211E1
6.329625180E-1,-7.510471940E-1,-6.490531564E-2,1.110568810E1,1.113124398E1
